vocab,reading,english,my_meaning,example_jp,example_en,example,lesson,section,page,textbook
方,かた,person (respectful language referring to someone else),,あの方はどなたですか。,Who is that person?,,1,1,1,できる日本語 初中級 本冊
者,もの,person (humble language referring to oneself),,私のような者はできません。,Someone like me cannot do it.,,1,1,1,できる日本語 初中級 本冊
チラシ,,leaflet, flyer,flyer,チラシを配ります。,I will distribute flyers.,,1,1,1,できる日本語 初中級 本冊
ホームページ,,website,,会社のホームページを見ます。,I look at the company's website.,,1,1,1,できる日本語 初中級 本冊
学生証,がくせいしょう,student ID,,学生証を見せてください。,Please show your student ID.,,1,1,1,できる日本語 初中級 本冊
資格外活動許可書,しかくがいかつどうきょかしょ,permission for engaging in activity outside visa status,work permit for students,資格外活動許可書をもらいました。,I received my work permit.,,1,1,1,できる日本語 初中級 本冊
面接,めんせつ,interview,,面接は明日あります。,The interview is tomorrow.,,1,1,1,できる日本語 初中級 本冊
履歴書,りれきしょ,resume, CV,,履歴書を書きました。,I wrote my resume.,,1,1,1,できる日本語 初中級 本冊
半年,はんとし,half-year,,日本に来てから半年です。,It has been half a year since I came to Japan.,,1,1,1,できる日本語 初中級 本冊
（お）刺身,さしみ,sashimi (thinly sliced, raw seafood),,刺身はおいしいです。,Sashimi is delicious.,,1,1,1,できる日本語 初中級 本冊
日常会話,にちじょうかいわ,daily conversation,,日常会話ができるようになりたいです。,I want to be able to do daily conversation.,,1,1,1,できる日本語 初中級 本冊
問い合わせ,といあわせ,inquiry,,電話で問い合わせをします。,I will make an inquiry by phone.,,1,1,1,できる日本語 初中級 本冊
希望・する,きぼう・する,desire,,夜の仕事を希望します。,I desire a night job.,,1,1,1,できる日本語 初中級 本冊
募集・する,ぼしゅう・する,recruit, put out a call for,,アルバイトを募集しています。,They are recruiting part-time workers.,,1,1,1,できる日本語 初中級 本冊
思い出す,おもいだす,remember, recall,,昔のことを思い出します。,I remember things from the past.,,1,1,1,できる日本語 初中級 本冊
入力・する,にゅうりょく・する,input,,パスワードを入力してください。,Please input your password.,,1,1,1,できる日本語 初中級 本冊
それでは,,well, then (at beginning of a sentence),Well then,それでは、始めましょう。,Well then, let's begin.,,1,1,1,できる日本語 初中級 本冊
では,,in that case, if so,In that case,では、また明日。,In that case, see you tomorrow.,,1,1,1,できる日本語 初中級 本冊
いらっしゃいます,go, come (respectful language referring to someone else),to be/go/come (respectful),社長はいらっしゃいますか。,Is the president here?,,1,1,1,できる日本語 初中級 本冊
申します,もうします,call oneself (humble language), my name is,am/say (humble),私田中と申します。,My name is Tanaka.,,1,1,1,できる日本語 初中級 本冊
参ります,まいります,go, come (humble language referring to oneself),go/come (humble),明日そちらへ参ります。,I will go there tomorrow.,,1,1,1,できる日本語 初中級 本冊
少々お待ちください,しょうしょうおまちください,Please wait a moment,,少々お待ちください。,Please wait a moment.,,1,1,1,できる日本語 初中級 本冊
お先に失礼します,おさきにしつれいします,Excuse me for going ahead of you,,お先に失礼します。,Excuse me for leaving before you.,,1,1,1,できる日本語 初中級 本冊
こちらへどうぞ,,Please come this way,,こちらへどうぞ。,Please come this way.,,1,1,1,できる日本語 初中級 本冊
失礼します,しつれいします,Excuse me,,失礼します。,Excuse me.,,1,1,1,できる日本語 初中級 本冊
よろしくお願いいたします,よろしくおねがいいたします,I am looking forward to knowing you,Please take care of me,よろしくお願いいたします。,I look forward to working with you.,,1,1,1,できる日本語 初中級 本冊
楽器,がっき,musical instrument,,楽器を演奏します。,I play a musical instrument.,,1,2,1,できる日本語 初中級 本冊
建物,たてもの,building,,高い建物があります。,There is a tall building.,,1,2,1,できる日本語 初中級 本冊
歴史,れきし,history,,日本の歴史を勉強します。,I study Japanese history.,,1,2,1,できる日本語 初中級 本冊
意見,いけん,opinion,,意見を言ってください。,Please give your opinion.,,1,2,1,できる日本語 初中級 本冊
お年寄り,おとしより,elderly person,,お年寄りに席を譲ります。,I give my seat to the elderly.,,1,2,1,できる日本語 初中級 本冊
言葉,ことば,words, language,,新しい言葉を覚えます。,I memorize new words.,,1,2,1,できる日本語 初中級 本冊
自分,じぶん,oneself,,自分で宿題をします。,I do homework by myself.,,1,2,1,できる日本語 初中級 本冊
話,はなし,conversation,,友達と話をします。,I talk with my friend.,,1,2,1,できる日本語 初中級 本冊
野外ライブ,やがいライブ,live outdoor concert,,野外ライブに行きます。,I go to an outdoor live concert.,,1,2,1,できる日本語 初中級 本冊
～個,こ,things (counter word),,りんごを3個買いました。,I bought 3 apples.,,1,2,1,できる日本語 初中級 本冊
聞き取る,ききとる,hear and understand,,英語が聞き取れません。,I cannot hear and understand English.,,1,2,1,できる日本語 初中級 本冊
覚える,おぼえる,remember, memorize,,単語を覚えます。,I memorize vocabulary.,,1,2,1,できる日本語 初中級 本冊
応援・する,おうえん・する,encourage, cheer on,,友達を応援します。,I cheer on my friend.,,1,2,1,できる日本語 初中級 本冊
サイクリング・する,,do cycling,,週末にサイクリングをします。,I go cycling on weekends.,,1,2,1,できる日本語 初中級 本冊
遅い,おそい,slow,slow (speed),このパソコンは遅いです。,This computer is slow.,,1,2,1,できる日本語 初中級 本冊
速い,はやい,fast,fast (speed),あの人は走るのが速いです。,That person is fast at running.,,1,2,1,できる日本語 初中級 本冊
つまらない,,boring,,この映画はつまらないです。,This movie is boring.,,1,2,1,できる日本語 初中級 本冊
得意（な）,とくい,good at (something),good at,私は料理が得意です。,I am good at cooking.,,1,2,1,できる日本語 初中級 本冊
苦手（な）,にがて,bad at (something),bad at,私は数学が苦手です。,I am bad at math.,,1,2,1,できる日本語 初中級 本冊
無理（な）,むり,unable to do (something),impossible,それは無理です。,That is impossible.,,1,2,1,できる日本語 初中級 本冊
朝早く,あさはやく,early morning,,朝早く起きます。,I wake up early in the morning.,,1,2,1,できる日本語 初中級 本冊
字幕,じまく,subtitles,,字幕をつけて見ます。,I watch it with subtitles.,,1,もう一度聞こう,2,できる日本語 初中級 本冊
大好き（な）,だいすき,favorite,,私は映画が大好きです。,I love movies.,,1,もう一度聞こう,2,できる日本語 初中級 本冊
まず,,at first (at beginning of a sentence),First,まず、名前を書いてください。,First, please write your name.,,1,もう一度聞こう,2,できる日本語 初中級 本冊
恥ずかしい,はずかしい,embarrassing,,間違えて恥ずかしかったです。,I was embarrassed because I made a mistake.,,2,話読聞書,3,できる日本語 初中級 本冊
次,つぎ,next,,次の駅で降ります。,I will get off at the next station.,,2,話読聞書,3,できる日本語 初中級 本冊
うれしい,,happy, glad,,プレゼントをもらってうれしいです。,I am happy to receive a present.,,2,話読聞書,3,できる日本語 初中級 本冊
画面,がめん,screen,,画面が大きいスマホがいいです。,I want a smartphone with a big screen.,,2,1,3,できる日本語 初中級 本冊
腕時計,うでどけい,wristwatch,,腕時計をなくしました。,I lost my wristwatch.,,2,1,3,できる日本語 初中級 本冊
セーター,,sweater,,暖かいセーターを着ています。,I am wearing a warm sweater.,,2,1,3,できる日本語 初中級 本冊
スーツケース,,suitcase,,スーツケースが重いです。,The suitcase is heavy.,,2,1,3,できる日本語 初中級 本冊
コート,,coat,,新しいコートを買いました。,I bought a new coat.,,2,1,3,できる日本語 初中級 本冊
棚,たな,shelf,,棚に本を置きます。,I put books on the shelf.,,2,1,3,できる日本語 初中級 本冊
指輪,ゆびわ,ring,,きれいな指輪をもらいました。,I received a beautiful ring.,,2,1,3,できる日本語 初中級 本冊
サイズ,,size,,靴のサイズはいくつですか。,What is your shoe size?,,2,1,3,できる日本語 初中級 本冊
数字,すうじ,number,,数字を読んでください。,Please read the numbers.,,2,1,3,できる日本語 初中級 本冊
ヒール,,(high) heels,,ヒールの高い靴は足が痛いです。,Shoes with high heels make my feet hurt.,,2,1,3,できる日本語 初中級 本冊
ボタン,,button,,ボタンが取れました。,The button came off.,,2,1,3,できる日本語 初中級 本冊
ジーンズ,,jeans,,ジーンズを履いています。,I am wearing jeans.,,2,1,3,できる日本語 初中級 本冊
売り場,うりば,sales section,,靴の売り場はどこですか。,Where is the shoe section?,,2,1,3,できる日本語 初中級 本冊
動く,うごく,move,,この時計は動いています。,This clock is moving.,,2,1,3,できる日本語 初中級 本冊
説明・する,せつめい・する,explain,,使い方を説明します。,I will explain how to use it.,,2,1,3,できる日本語 初中級 本冊
配達・する,はいたつ・する,deliver,,午後荷物を配達してください。,Please deliver the luggage in the afternoon.,,2,1,3,できる日本語 初中級 本冊
重い,おもい,heavy (weight),,この荷物は重いです。,This luggage is heavy.,,2,1,3,できる日本語 初中級 本冊
