"test_number","section","question_number","word_bank","passage","question_text","choices","correct_answer","notes"
"11","Vocabulary","1","あたりまえ, しゅうい, スタイル, 性, 層, どうい, とつぜん, どんなに, やはり, リビング","","結婚するなら、将来(　)のある人がいい","","どうい",""
"11","Vocabulary","2","あたりまえ, しゅうい, スタイル, 性, 層, どうい, とつぜん, どんなに, やはり, リビング","","日本人のライフ(　)は年々変わっている","","性",""
"11","Vocabulary","3","あたりまえ, しゅうい, スタイル, 性, 層, どうい, とつぜん, どんなに, やはり, リビング","","人から借りたものを返すのは(　)のことだ","","あたりまえ",""
"11","Vocabulary","4","あたりまえ, しゅうい, スタイル, 性, 層, どうい, とつぜん, どんなに, やはり, リビング","","(　)の人に反対されても、私は彼女と結婚したい","","しゅうい",""
"11","Vocabulary","5","あたりまえ, しゅうい, スタイル, 性, 層, どうい, とつぜん, どんなに, やはり, リビング","","(　)難しいテストでも、希望の学校に入学するために頑張るつもりです","","どんなに",""
"11","Vocabulary","6","かけて, かんぜんに, くるしく, コミュニティー, さいていな, サポート, そろって, たすけて, てきどな, はなれて","","忙しくても、体のために毎日(　)運動をしたほうがいい","","てきどな",""
"11","Vocabulary","7","かけて, かんぜんに, くるしく, コミュニティー, さいていな, サポート, そろって, たすけて, てきどな, はなれて","","子供の成長には大人の(　)が必要だ","","サポート",""
"11","Vocabulary","8","かけて, かんぜんに, くるしく, コミュニティー, さいていな, サポート, そろって, たすけて, てきどな, はなれて","","この寮の部屋には必要な家具が(　)いるので、何も買わなくてもいいです","","そろって",""
"11","Vocabulary","9","かけて, かんぜんに, くるしく, コミュニティー, さいていな, サポート, そろって, たすけて, てきどな, はなれて","","先週アルバイトを辞めたので、生活が(　)なりました","","くるしく",""
"11","Vocabulary","10","かけて, かんぜんに, くるしく, コミュニティー, さいていな, サポート, そろって, たすけて, てきどな, はなれて","","私は食費を節約して、服やバッグにお金を(　)いる","","かけて",""
"11","Grammar","1","けっか, といっても, にたいして, にしても, ものの","","どこの学校を受験する(　)、受験勉強は必要だ。","","にしても",""
