id,lesson,lesson_title,context,point,meaning,formation,jlpt,example_jp,example_en,nuance,textbook
1,1,New Encounters,reading notices/announcements,〜において／〜における,"at / in / regarding (formal marker of time, place, or field)",Noun + において／における + Noun,N2,現代社会において、情報の扱い方は重要だ。,"In modern society, how you handle information is important.","Formal, written equivalent of で／に; における is the noun-modifying form used before another noun.","できる日本語 中級 本冊"
2,1,New Encounters,reading notices/announcements,〜上（で）,in terms of ~ / from the standpoint of ~,Noun + 上（で）,N2,仕事上で困っていることはありますか。,Is there anything you're having trouble with work-wise?,Marks the domain or aspect from which something is viewed; upper-level abstract equivalent of で.,"できる日本語 中級 本冊"
3,1,New Encounters,reading notices/announcements,〜てほしい／〜てもらいたい,I want you to ~,Verb て-form + ほしい／もらいたい,N4,説明会にはぜひ参加してほしいです。,I really want you to attend the info session.,Expresses the speaker's wish for someone else to do something; もらいたい is slightly more formal/indirect than ほしい.,"できる日本語 中級 本冊"
4,1,New Encounters,inviting a friend to an event,　　　　よね,right? / isn't it? (seeking agreement/confirmation),plain form + よね,N5,土曜日、ひま だよね？一緒に行かない？,"You're free Saturday, right? Want to come together?",Softly confirms shared information while inviting agreement; friendlier than plain よ or ね alone.,"できる日本語 中級 本冊"
5,1,New Encounters,inviting a friend to an event,〜とか〜とか,things like ~ and ~ (listing examples informally),Noun/plain form + とか + Noun/plain form + とか,N4,花火大会とか夏祭りとか、夏のイベントに行きたいな。,"I want to go to summer events, like fireworks shows and summer festivals.",Casual listing that implies there are other unstated examples too; softer/less exhaustive than や.,"できる日本語 中級 本冊"
6,1,New Encounters,inviting a friend to an event,〜だけ／〜だけの,only ~ / just enough ~,Noun/plain form + だけ；だけの + Noun,N4,行けるだけ行ってみようよ。,Let's just go as far as (however many events) we can.,だけ limits scope to what's stated; だけの modifies a following noun to mean 'the amount/kind of ~ needed.',"できる日本語 中級 本冊"
7,1,New Encounters,listening to weather forecasts,〜でしょう／〜だろう,probably ~ (prediction),plain form + でしょう／だろう,N4,明日は晴れるでしょう。,It will probably be sunny tomorrow.,Standard forecasting language; だろう is the plain/male-leaning register of でしょう.,"できる日本語 中級 本冊"
8,1,New Encounters,listening to weather forecasts,〜から〜にかけて,"from ~ through ~ (a span of time or area, roughly)",Noun + から + Noun + にかけて,N2,今夜から明日の朝にかけて、雨が降るでしょう。,It will likely rain from tonight through tomorrow morning.,"Describes a broad, roughly-defined range rather than a precise start/end, common in weather reports.","できる日本語 中級 本冊"
9,1,New Encounters,listening to weather forecasts,〜と、A／V,"when ~ (automatic/natural result, revisited)",plain form + と,N4,気温が下がると、雪になります。,"When the temperature drops, it turns to snow.","States a natural, predictable cause-and-effect relationship, typical of weather explanations.","できる日本語 中級 本冊"
10,1,New Encounters,making a memorable self-introduction,〜がきっかけで,the trigger/reason that led to ~,Noun + がきっかけで／plain form + の + がきっかけで,N2,友達に誘われたのがきっかけで、日本語を勉強し始めました。,Being invited by a friend was what got me started studying Japanese.,"Marks the specific event or reason that started something, often used when telling personal background stories.","できる日本語 中級 本冊"
