vocab,reading,english,my_meaning,example_jp,example_en,example,lesson,page,textbook
公務員,こうむいん,civil servant,,,,,11,21,できる日本語 中級 本冊
後半,こうはん,late (latter half),the latter half / second half,試合（しあい）の後半（こうはん）で逆転（ぎゃくてん）した。,They turned it around in the second half.,,11,21,できる日本語 中級 本冊
妊娠する,にんしんする,to become pregnant,,妻（つま）が妊娠（にんしん）したと聞（き）いて喜（よろこ）んだ。,I was glad to hear my wife was pregnant.,,11,21,できる日本語 中級 本冊
報告する,ほうこくする,to report,,調査（ちょうさ）の結果（けっか）を上司（じょうし）に報告（ほうこく）した。,I reported the survey results to my boss.,,11,21,できる日本語 中級 本冊
比較的,ひかくてき,comparatively,relatively / comparatively,今日（きょう）は比較的（ひかくてき）暖（あたた）かい。,It's relatively warm today.,,11,21,できる日本語 中級 本冊
得る,える,to obtain,to obtain / gain (also read うる in compounds like ありうる),新（あたら）しい情報（じょうほう）を得（え）た。,I obtained new information.,,11,21,できる日本語 中級 本冊
快い,こころよい,pleasant,pleasant / agreeable / refreshing,快（こころよ）い風（かぜ）が部屋（へや）に入（はい）ってきた。,A pleasant breeze came into the room.,,11,21,できる日本語 中級 本冊
方々,かたがた,people (honorific),people (polite plural of 人),来場（らいじょう）の方々（かたがた）に感謝（かんしゃ）します。,We thank everyone who came.,,11,21,できる日本語 中級 本冊
優先する,ゆうせんする,to give priority to,to prioritize / give priority to,安全（あんぜん）を最優先（さいゆうせん）する。,We give top priority to safety.,,11,21,できる日本語 中級 本冊
瞬く間,またたくま,in the blink of an eye,in an instant / in the blink of an eye,瞬（またた）く間（ま）に一年（いちねん）が過（す）ぎた。,A year passed in the blink of an eye.,,11,21,できる日本語 中級 本冊
産後,さんご,after giving birth,,産後（さんご）はゆっくり休（やす）んだほうがいい。,You should rest well after giving birth.,,11,21,できる日本語 中級 本冊
制度,せいど,system,"system (institutional — social, legal, organizational; not a machine)",新（あたら）しい育児（いくじ）休業（きゅうぎょう）制度（せいど）が始（はじ）まった。,A new childcare-leave system started.,,11,21,できる日本語 中級 本冊
ともに,ともに,both,together (with) / along with; both,親子（おやこ）ともに健康（けんこう）です。,Both parent and child are healthy.,,11,21,できる日本語 中級 本冊
実家,じっか,parent's home,one's family home / parents' house,正月（しょうがつ）に実家（じっか）へ帰（かえ）る。,I go back to my parents' house at New Year.,,11,21,できる日本語 中級 本冊
片手,かたて,in one hand,one hand,片手（かたて）でドアを開（あ）けた。,I opened the door with one hand.,,11,21,できる日本語 中級 本冊
愛おしい,いとおしい,adorable,dear / precious / endearing (deeper than 'cute'),生（う）まれたばかりの子（こ）が愛（いと）おしい。,My newborn child is so dear to me.,,11,21,できる日本語 中級 本冊
率先する,そっせんする,to do something willingly,to take the initiative / take the lead,彼（かれ）はいつも率先（そっせん）して働（はたら）く。,He always takes the lead in working.,,11,21,できる日本語 中級 本冊
