id,section,sentence_jp,sentence_en,answer,reading,choices,why_correct,why_incorrect
1,文字,父親は子供を(すくおう)として川に飛びこんだ,The father jumped into the river intending to save his child.,救おう,すくおう,泳おう、助おう、救おう、守おう,救う(すくう) correctly becomes the volitional 救おう ('trying to save').,"泳おう, 助おう, 守おう are all incorrectly conjugated forms (the real volitionals would be 泳ごう, 助けよう, 守ろう) and none of them are read すくおう anyway."
2,文字,かぜは三日で(なおった),My cold got better in three days.,治った,なおった,始った、治った、拾った、置った,治る(なおる) = to heal/recover; 治った fits 'got better.',始った and 置った are not valid conjugations (真の forms would be 始まった／置いた). 拾った means 'picked up' — wrong meaning.
3,文字,旅行の(ひよう)は三万円です,"The trip costs 30,000 yen.",費用,ひよう,費要、貝用、費用、貝要,"費用 = cost/expenses, correct word and reading.","貝要, 費要, 貝用 all swap in look-alike kanji (貝 for 費, 要 for 用) to form non-existent words."
4,文字,国から友達が来たので、京都を(あんない)した,"A friend came from my country, so I showed them around Kyoto.",案内,あんない,案肉、安内、案内、安肉,案内する = to guide/show around; correct word.,"案肉, 安内, 安肉 swap in similar-sounding/looking kanji (案/安 both read あん; 内/肉 look similar) to make non-words."
5,文字,病気になって、(けんこう)の大切さに気づいた,"After getting sick, I realized how important health is.",健康,けんこう,建康、健候、健康、建候,健康 = health; correct word.,"建康, 健候, 建候 swap look-alike kanji (健/建 both けん; 康/候) into non-existent words."
6,文字,本棚を(せいり)してください,Please organize the bookshelf.,整理,せいり,正利、整利、正理、整理,整理する = to organize/tidy; correct word.,"正利, 整利, 正理 mix up look-alike kanji (正/整 both せい; 利/理 both り) into non-words."
7,文字,来年大学を(そつぎょう)する,I'll graduate university next year.,卒業,そつぎょう,率行、率業、卒行、卒業,卒業する = to graduate; correct word.,"率行, 率業, 卒行 confuse 率(りつ/そつ-like shape) with 卒, and 行 with 業 — none form real words."
8,文字,私は英語が(とくい)だ,I'm good at English.,得意,とくい,特意、特息、得息、得意,得意 = good at/skilled in; correct word.,"特意, 特息, 得息 mix up look-alike kanji (特/得 both とく; 意/息 look similar) into non-words."
9,文字,うそをついた自分を(はんせい)した,I reflected on myself for lying.,反省,はんせい,反正、半生、反省、半清,反省する = to reflect on/feel remorse for; correct word and meaning.,"半生(はんせい) is a real word but means 'half of one's life,' the wrong meaning here. 反正 and 半清 are not real words."
10,語彙,私が通っている高校はスポーツが()だ,This high school I attend is big on sports.,盛ん,さかん,豊か、盛ん、完全、立派,盛ん describes an activity being active/thriving — fits sports being a strong point of the school.,豊か (abundant) and 立派 (splendid) don't naturally collocate with スポーツ; 完全 (perfect) is the wrong meaning entirely.
11,語彙,海外旅行で、習った英語が()ときは、とてもうれしかった,I was so happy when the English I'd learned got through/was understood on my trip abroad.,通じた,つうじた,通した、詰めた、抜けた、通じた,通じる = to be understood/get across; fits '(my) English was understood.',"通した (pushed/let through), 詰めた (packed/stuffed), 抜けた (came out/slipped out) are all wrong meanings for language being understood."
