id,lesson,lesson_title,context,point,meaning,formation,jlpt,example_jp,example_en,nuance
1,11,Lifestyles,reporting survey results,〜ということだ／〜とのことだ,I hear that / it is said that (reporting from a source),plain form + ということだ／とのことだ,N3,天気予報によると、明日は雨が降るということだ。,"According to the forecast, it'll rain tomorrow.",とのことだ is slightly more formal/written. (Note: 〜ということだ can also mean 'in other words / this means.')
2,11,Lifestyles,reporting survey results,〜に対して,toward / in contrast to,Noun + に対して,N3,この問題に対して、いろいろな意見がある。,There are various opinions toward this problem.,"Two senses: a target of action/feeling, or a contrast between two things."
3,11,Lifestyles,reporting survey results,〜ものの／〜とはいうものの,"although; even though (X is true, but the expected Y doesn't follow)","plain form + ものの（なAdj+な/である, Noun+である）",N2,免許は取ったものの、車がないので運転していない。,"Although I got my license, I don't drive since I have no car.",Written/formal; the second clause counters the expectation set up by the first.
4,11,Lifestyles,reporting survey results,〜といっても,"although I say X, the reality is more modest/different",plain form / Noun + といっても,N3,料理ができるといっても、卵焼きぐらいだ。,"Although I say I can cook, it's only about omelettes.",Corrects an overestimation the listener might form.
5,11,Lifestyles,describing lifestyle trends,〜とは〜ことだ／〜とは〜ということだ,X means Y (defining a term),Noun + とは + explanation + ことだ／ということだ,N2,「敷金」とは、部屋を借りるときに預けるお金のことだ。,'Shikikin' refers to money you deposit when renting a room.,Used to define or explain a term.
6,11,Lifestyles,describing lifestyle trends,〜にしても／〜にしろ／〜にせよ,even if / even supposing; whether (concession),plain form / Noun + にしても／にしろ／にせよ,N2,行くにしても、準備が必要だ。,"Even if we go, preparation is needed.",にしろ／にせよ are more formal/written than にしても.
7,11,Lifestyles,describing lifestyle trends,〜つつある,to be in the process of ~ing (a gradual trend),Verb ますstem + つつある,N2,日本の人口は減りつつある。,Japan's population is gradually decreasing.,Written; stresses an ongoing movement in one direction.
8,11,Lifestyles,describing lifestyle trends,〜結果,"as a result of (doing X), Y",Verb た / Noun の + 結果,N2,話し合った結果、計画を変更した。,"As a result of discussing it, we changed the plan.",The outcome of a deliberate action or process.
9,11,Lifestyles,cancelling plans,〜づらい,hard to do (often from reluctance/discomfort),Verb ますstem + づらい,N3,この字は小さくて読みづらい。,This text is small and hard to read.,Cf. 〜にくい (neutral difficulty); 〜づらい often implies the speaker feels reluctant.
10,11,Lifestyles,cancelling plans,〜んだから／〜のだから,"since X is obviously the case, naturally Y",plain form + んだから（なAdj/Noun+な）,N3,もう大人なんだから、自分で決めなさい。,"Since you're an adult now, decide for yourself.","X is presented as a known/obvious reason, often with emotion (urging, reproach)."
